"DateTime","Nominal","Primário"
"2014-12-01",-5.95,-0.56
"2015-01-01",-5.7,-0.54
"2015-02-01",-6.53,-0.62
"2015-03-01",-7.45,-0.67
"2015-04-01",-7.16,-0.73
"2015-05-01",-7.61,-0.65
"2015-06-01",-7.83,-0.77
"2015-07-01",-8.48,-0.86
"2015-08-01",-8.89,-0.74
"2015-09-01",-9.01,-0.43
"2015-10-01",-9.18,-0.69
"2015-11-01",-9.19,-0.88
"2015-12-01",-10.22,-1.86
"2016-01-01",-10.73,-1.74
"2016-02-01",-10.6,-2.08
"2016-03-01",-9.59,-2.25
"2016-04-01",-9.96,-2.3
"2016-05-01",-9.93,-2.47
"2016-06-01",-9.81,-2.47
"2016-07-01",-9.47,-2.51
"2016-08-01",-9.53,-2.74
"2016-09-01",-9.32,-3.04
"2016-10-01",-8.77,-2.21
"2016-11-01",-9.32,-2.51
"2016-12-01",-8.98,-2.48
"2017-01-01",-8.48,-2.33
"2017-02-01",-8.47,-2.33
"2017-03-01",-9.13,-2.33
"2017-04-01",-9.14,-2.28
"2017-05-01",-9.19,-2.46
"2017-06-01",-9.45,-2.6
"2017-07-01",-9.28,-2.64
"2017-08-01",-8.97,-2.44
"2017-09-01",-8.73,-2.35
"2017-10-01",-9.21,-2.87
"2017-11-01",-8.41,-2.27
"2017-12-01",-7.77,-1.68
"2018-01-01",-7.44,-1.51
"2018-02-01",-7.28,-1.42
"2018-03-01",-7.3,-1.62
"2018-04-01",-7.42,-1.76
"2018-05-01",-7.12,-1.42
"2018-06-01",-7.18,-1.32
"2018-07-01",-6.91,-1.13
"2018-08-01",-7.32,-1.23
"2018-09-01",-7.08,-1.27
"2018-10-01",-6.68,-1.22
"2018-11-01",-6.95,-1.42
"2018-12-01",-6.96,-1.55
"2019-01-01",-6.83,-1.54
"2019-02-01",-6.78,-1.5
"2019-03-01",-6.83,-1.4
"2019-04-01",-6.83,-1.35
"2019-05-01",-6.77,-1.4
"2019-06-01",-6.37,-1.39
"2019-07-01",-6.35,-1.37
"2019-08-01",-6.14,-1.32
"2019-09-01",-6.2,-1.26
"2019-10-01",-6.23,-1.23
"2019-11-01",-6.24,-1.22
"2019-12-01",-5.81,-0.84
"2020-01-01",-5.87,-0.71
"2020-02-01",-5.9,-0.78
"2020-03-01",-6.11,-0.85
"2020-04-01",-7.32,-2.21
"2020-05-01",-8.61,-3.81
"2020-06-01",-11.02,-6.18
"2020-07-01",-11.77,-7.22
"2020-08-01",-12.54,-8.21
"2020-09-01",-13.26,-8.77
"2020-10-01",-13.48,-8.83
"2020-11-01",-12.97,-8.81
"2020-12-01",-13.34,-9.24
"2021-01-01",-13.25,-9.13
"2021-02-01",-12.99,-8.91
"2021-03-01",-12.32,-8.4
"2021-04-01",-10.25,-6.75
"2021-05-01",-8.81,-5.21
"2021-06-01",-7.06,-3.66
"2021-07-01",-6.59,-2.77
"2021-08-01",-5.42,-1.52
"2021-09-01",-4.64,-0.61
"2021-10-01",-4.52,-0.23
"2021-11-01",-4.54,0.14
"2021-12-01",-4.26,0.72
"2022-01-01",-3.51,1.19
"2022-02-01",-3.29,1.36
"2022-03-01",-3.06,1.34
"2022-04-01",-3.8,1.48
"2022-05-01",-4.06,1.28
"2022-06-01",-4.1,2.11
"2022-07-01",-3.71,2.4
"2022-08-01",-4.04,1.89
"2022-09-01",-4.19,1.85
"2022-10-01",-4.04,1.75
"2022-11-01",-4.44,1.38
"2022-12-01",-4.57,1.25
"2023-01-01",-4.9,1.21
"2023-02-01",-5.52,0.91
"2023-03-01",-5.98,0.72
"2023-04-01",-5.79,0.54
"2023-05-01",-6.27,0.37
"2023-06-01",-6.29,-0.23
"2023-07-01",-6.83,-0.76
"2023-08-01",-7.18,-0.69
"2023-09-01",-7.52,-0.96
"2023-10-01",-7.78,-1.06
"2023-11-01",-7.82,-1.22
"2023-12-01",-8.91,-2.29
"2024-01-01",-9.08,-2.25
"2024-02-01",-9.25,-2.44
"2024-03-01",-9.09,-2.3
"2024-04-01",-9.43,-2.41
"2024-05-01",-9.56,-2.52
"2024-06-01",-9.92,-2.44
"2024-07-01",-10.01,-2.29
"2024-08-01",-9.8,-2.26
"2024-09-01",-9.33,-2.15
"2024-10-01",-9.52,-1.95