"DateTime","DLSP","DBGG"
"2011-07-01",36.82,52.52
"2011-08-01",36.55,52.29
"2011-09-01",34.67,52.11
"2011-10-01",35.65,51.7
"2011-11-01",34.76,51.76
"2011-12-01",34.47,51.27
"2012-01-01",35,51.83
"2012-02-01",35.15,52.22
"2012-03-01",34.26,52.72
"2012-04-01",33.5,53.22
"2012-05-01",32.77,53.27
"2012-06-01",32.78,53.42
"2012-07-01",32.51,53.6
"2012-08-01",32.6,53.33
"2012-09-01",32.62,54.05
"2012-10-01",32.44,54.52
"2012-11-01",32.08,54.65
"2012-12-01",32.19,53.67
"2013-01-01",32.17,53.98
"2013-02-01",32.59,54.03
"2013-03-01",32.4,54.05
"2013-04-01",32.14,53.78
"2013-05-01",31.51,53.92
"2013-06-01",31.19,53.61
"2013-07-01",30.8,53.7
"2013-08-01",30.58,53.44
"2013-09-01",31.51,52.95
"2013-10-01",31.62,53.1
"2013-11-01",30.58,52.73
"2013-12-01",30.5,51.54
"2014-01-01",30.01,52.63
"2014-02-01",30.36,51.84
"2014-03-01",30.78,51.79
"2014-04-01",30.78,52
"2014-05-01",31.1,52.19
"2014-06-01",31.48,52.75
"2014-07-01",31.6,53.17
"2014-08-01",32.14,53.81
"2014-09-01",32.07,55.11
"2014-10-01",32.22,55.43
"2014-11-01",32.18,56.01
"2014-12-01",32.59,56.28
"2015-01-01",32.5,57.16
"2015-02-01",32.3,58.28
"2015-03-01",31.59,59.49
"2015-04-01",32.34,59.11
"2015-05-01",32.39,60.2
"2015-06-01",33.23,60.75
"2015-07-01",32.91,62.17
"2015-08-01",32.46,62.97
"2015-09-01",32.02,63.65
"2015-10-01",33.07,63.93
"2015-11-01",33.9,64.29
"2015-12-01",35.64,65.5
"2016-01-01",35.34,66.51
"2016-02-01",36.28,66.66
"2016-03-01",38.33,66.33
"2016-04-01",38.87,66.62
"2016-05-01",39.08,67.58
"2016-06-01",41.35,67.51
"2016-07-01",41.93,68.7
"2016-08-01",42.81,69.33
"2016-09-01",43.63,69.98
"2016-10-01",43.88,69.78
"2016-11-01",43.99,70.82
"2016-12-01",46.14,69.84
"2017-01-01",46.46,69.81
"2017-02-01",47.26,70.39
"2017-03-01",47.53,71.24
"2017-04-01",47.48,71.37
"2017-05-01",48,72.33
"2017-06-01",48.44,72.74
"2017-07-01",49.69,73.18
"2017-08-01",50.1,73.62
"2017-09-01",50.76,73.71
"2017-10-01",50.54,74.11
"2017-11-01",50.86,74.03
"2017-12-01",51.37,73.72
"2018-01-01",51.43,74.04
"2018-02-01",51.58,74.51
"2018-03-01",51.83,74.6
"2018-04-01",51.22,74.96
"2018-05-01",50.67,76.13
"2018-06-01",50.71,76.13
"2018-07-01",51.3,75.95
"2018-08-01",50.34,76.02
"2018-09-01",51.32,75.99
"2018-10-01",52.43,75.29
"2018-11-01",52.2,75.69
"2018-12-01",52.77,75.27
"2019-01-01",53.11,75.43
"2019-02-01",53.11,75.52
"2019-03-01",53.04,76.71
"2019-04-01",53.05,77.12
"2019-05-01",53.24,76.56
"2019-06-01",53.82,76.67
"2019-07-01",54.26,76.83
"2019-08-01",53.32,77.56
"2019-09-01",53.64,76.6
"2019-10-01",54.11,75.79
"2019-11-01",53.78,76.19
"2019-12-01",54.7,74.44
"2020-01-01",53.19,74.76
"2020-02-01",52.55,75.15
"2020-03-01",50.63,76.78
"2020-04-01",51.59,78.05
"2020-05-01",53.71,79.95
"2020-06-01",56.24,82.87
"2020-07-01",58.12,83.5
"2020-08-01",58.66,85.82
"2020-09-01",59.3,87.42
"2020-10-01",59.16,87.68
"2020-11-01",60.58,86.98
"2020-12-01",61.37,86.94
"2021-01-01",59.71,86.92
"2021-02-01",59.5,86.87
"2021-03-01",58.53,85.1
"2021-04-01",57.7,82.61
"2021-05-01",57.53,81.44
"2021-06-01",58.43,80.6
"2021-07-01",57.76,80.25
"2021-08-01",57.18,79.64
"2021-09-01",56.17,79.62
"2021-10-01",55.2,79.51
"2021-11-01",54.97,78.21
"2021-12-01",55.11,77.31
"2022-01-01",54.81,76.98
"2022-02-01",55.44,76.91
"2022-03-01",56.66,76.4
"2022-04-01",56.4,76.33
"2022-05-01",56.92,75.68
"2022-06-01",56.03,75.61
"2022-07-01",55.58,75.24
"2022-08-01",56.05,74.56
"2022-09-01",56.03,74.15
"2022-10-01",55.98,73.71
"2022-11-01",55.82,72.96
"2022-12-01",56.13,71.68
"2023-01-01",55.21,71.38
"2023-02-01",55.7,71.75
"2023-03-01",55.97,71.53
"2023-04-01",55.94,71.59
"2023-05-01",56.66,72.2
"2023-06-01",57.92,72.14
"2023-07-01",58.53,72.72
"2023-08-01",58.92,73.19
"2023-09-01",59.16,73.37
"2023-10-01",59.2,73.75
"2023-11-01",59.49,73.82
"2023-12-01",60.91,74.42
"2024-01-01",60.12,75.19
"2024-02-01",60.99,75.65
"2024-03-01",61.36,75.97
"2024-04-01",61.38,76.18
"2024-05-01",62.11,76.75
"2024-06-01",62.16,77.78
"2024-07-01",61.79,78.33
"2024-08-01",61.99,78.51
"2024-09-01",62.39,78.27